Anni,Stati,Valore
2014,IT,59235.421
2022,IT,44424.417
2014,ES,78818.308
2022,ES,56353.178
2014,FI,3505.656
2022,FI,3327.273
2014,HU,8999.080
2022,HU,8578.155
2014,IE,3353.142
2022,IE,2719.588
2014,DE,46078.286
2022,DE,48169.065
